MemberId,Name,Signature,StartLine,EndLine,LineCount,CalledMethodNames,ResolvedTargetIds,AmbiguousMethodNames,UnresolvedMethodNames,CallCount,ResolvedCount,AmbiguousCount,UnresolvedCount
Method|ResolveUploaderName(string?)|L1673,ResolveUploaderName,ResolveUploaderName(string?),1673,1699,27,,,,,0,0,0,0
Method|ApplyPlayerIdentityToUiAndCloudStore()|L1701,ApplyPlayerIdentityToUiAndCloudStore,ApplyPlayerIdentityToUiAndCloudStore(),1701,1706,6,ApplyPlayerIdentityToCloudStore;ResolveUploaderName;SetUsernameDisplay,Method|ApplyPlayerIdentityToCloudStore(FirebaseModlistStore?)|L1708;Method|ResolveUploaderName(string?)|L1673;Method|SetUsernameDisplay(string?)|L1666,,,3,3,0,0
Method|ApplyPlayerIdentityToCloudStore(FirebaseModlistStore?)|L1708,ApplyPlayerIdentityToCloudStore,ApplyPlayerIdentityToCloudStore(FirebaseModlistStore?),1708,1713,6,,,,,0,0,0,0
Method|SaveUploaderName()|L1715,SaveUploaderName,SaveUploaderName(),1715,1721,7,ResolveUploaderName;SetUsernameDisplay,Method|ResolveUploaderName(string?)|L1673;Method|SetUsernameDisplay(string?)|L1666,,,2,2,0,0
"Method|EnableServerOptionsMenuItem_OnClick(object,RoutedEventArgs)|L1723",EnableServerOptionsMenuItem_OnClick,"EnableServerOptionsMenuItem_OnClick(object,RoutedEventArgs)",1723,1730,8,UpdateServerOptionsState,Method|UpdateServerOptionsState(bool)|L13738,,,1,1,0,0
"Method|UseFasterThumbnailsMenuItem_OnClick(object,RoutedEventArgs)|L1732",UseFasterThumbnailsMenuItem_OnClick,"UseFasterThumbnailsMenuItem_OnClick(object,RoutedEventArgs)",1732,1738,7,,,,,0,0,0,0
"Method|DisableHoverEffectsMenuItem_OnClick(object,RoutedEventArgs)|L1740",DisableHoverEffectsMenuItem_OnClick,"DisableHoverEffectsMenuItem_OnClick(object,RoutedEventArgs)",1740,1751,12,RefreshHoverOverlayState,Method|RefreshHoverOverlayState()|L4942,,,1,1,0,0
"Method|LogModUpdateMenuItem_OnClick(object,RoutedEventArgs)|L1753",LogModUpdateMenuItem_OnClick,"LogModUpdateMenuItem_OnClick(object,RoutedEventArgs)",1753,1759,7,,,,,0,0,0,0
"Method|LogModInstallMenuItem_OnClick(object,RoutedEventArgs)|L1761",LogModInstallMenuItem_OnClick,"LogModInstallMenuItem_OnClick(object,RoutedEventArgs)",1761,1767,7,,,,,0,0,0,0
"Method|LogModDeletionMenuItem_OnClick(object,RoutedEventArgs)|L1769",LogModDeletionMenuItem_OnClick,"LogModDeletionMenuItem_OnClick(object,RoutedEventArgs)",1769,1775,7,,,,,0,0,0,0
"Method|LogAppLifecycleMenuItem_OnClick(object,RoutedEventArgs)|L1777",LogAppLifecycleMenuItem_OnClick,"LogAppLifecycleMenuItem_OnClick(object,RoutedEventArgs)",1777,1783,7,,,,,0,0,0,0
"Method|LogErrorsAndExceptionsMenuItem_OnClick(object,RoutedEventArgs)|L1785",LogErrorsAndExceptionsMenuItem_OnClick,"LogErrorsAndExceptionsMenuItem_OnClick(object,RoutedEventArgs)",1785,1792,8,InitializeTraceListener,Method|InitializeTraceListener()|L1794,,,1,1,0,0
Method|InitializeTraceListener()|L1794,InitializeTraceListener,InitializeTraceListener(),1794,1811,18,,,,,0,0,0,0
Method|UpdateLoggingMenuState()|L1813,UpdateLoggingMenuState,UpdateLoggingMenuState(),1813,1825,13,,,,,0,0,0,0
