MemberId,Name,Signature,StartLine,EndLine,CallerIds,CallerSignatures,CallerCount
Method|RefreshModDetailsOnly()|L4209,RefreshModDetailsOnly,RefreshModDetailsOnly(),4209,4215,Method|RefreshModsWithErrorHandlingAsync()|L7492,RefreshModsWithErrorHandlingAsync(),1
Method|TryInitializePaths()|L4217,TryInitializePaths,TryInitializePaths(),4217,4232,Method|OnActiveGameProfileChangedAsync()|L7572,OnActiveGameProfileChangedAsync(),1
Method|TryResolveDataDirectory()|L4234,TryResolveDataDirectory,TryResolveDataDirectory(),4234,4271,Method|TryInitializePaths()|L4217,TryInitializePaths(),1
Method|TryResolveGameDirectory()|L4273,TryResolveGameDirectory,TryResolveGameDirectory(),4273,4313,Method|TryInitializePaths()|L4217,TryInitializePaths(),1
Method|TryResolveCustomShortcut()|L4315,TryResolveCustomShortcut,TryResolveCustomShortcut(),4315,4338,Method|TryInitializePaths()|L4217,TryInitializePaths(),1
Method|HandleViewModelInitializationFailure(Exception)|L4340,HandleViewModelInitializationFailure,HandleViewModelInitializationFailure(Exception),4340,4356,,,0
Method|ReloadViewModelAsync()|L4358,ReloadViewModelAsync,ReloadViewModelAsync(),4358,4420,"Method|DeveloperProfileMenuItem_OnClick(object,RoutedEventArgs)|L7882;Method|OnActiveGameProfileChangedAsync()|L7572;Method|SelectDataFolderMenuItem_OnClick(object,RoutedEventArgs)|L7716","DeveloperProfileMenuItem_OnClick(object,RoutedEventArgs);OnActiveGameProfileChangedAsync();SelectDataFolderMenuItem_OnClick(object,RoutedEventArgs)",3
"Method|PromptForDirectory(string,string?,PathValidator,bool)|L4422",PromptForDirectory,"PromptForDirectory(string,string?,PathValidator,bool)",4422,4462,"Method|SelectDataFolderMenuItem_OnClick(object,RoutedEventArgs)|L7716;Method|SelectGameFolderMenuItem_OnClick(object,RoutedEventArgs)|L7735;Method|TryResolveDataDirectory()|L4234;Method|TryResolveGameDirectory()|L4273","SelectDataFolderMenuItem_OnClick(object,RoutedEventArgs);SelectGameFolderMenuItem_OnClick(object,RoutedEventArgs);TryResolveDataDirectory();TryResolveGameDirectory()",4
"Method|PromptForConfigFile(ModListItemViewModel,string?)|L4464",PromptForConfigFile,"PromptForConfigFile(ModListItemViewModel,string?)",4464,4493,"Method|EditConfigButton_OnClick(object,RoutedEventArgs)|L5057","EditConfigButton_OnClick(object,RoutedEventArgs)",1
Method|GetInitialConfigDirectory(string?)|L4495,GetInitialConfigDirectory,GetInitialConfigDirectory(string?),4495,4517,"Method|PromptForConfigFile(ModListItemViewModel,string?)|L4464","PromptForConfigFile(ModListItemViewModel,string?)",1
"Method|TryValidateDataDirectory(string?,out string?,out string?)|L4519",TryValidateDataDirectory,"TryValidateDataDirectory(string?,out string?,out string?)",4519,4557,Method|TryResolveDataDirectory()|L4234,TryResolveDataDirectory(),1
"Method|TryValidateGameDirectory(string?,out string?,out string?)|L4559",TryValidateGameDirectory,"TryValidateGameDirectory(string?,out string?,out string?)",4559,4608,Method|TryResolveGameDirectory()|L4273,TryResolveGameDirectory(),1
"Method|ModsDataGrid_OnSorting(object,DataGridSortingEventArgs)|L4614",ModsDataGrid_OnSorting,"ModsDataGrid_OnSorting(object,DataGridSortingEventArgs)",4614,4632,,,0
"Method|ModsDataGrid_OnSelectionChanged(object,SelectionChangedEventArgs)|L4634",ModsDataGrid_OnSelectionChanged,"ModsDataGrid_OnSelectionChanged(object,SelectionChangedEventArgs)",4634,4646,,,0
"Method|ModsDataGrid_OnPreviewKeyDown(object,KeyEventArgs)|L4648",ModsDataGrid_OnPreviewKeyDown,"ModsDataGrid_OnPreviewKeyDown(object,KeyEventArgs)",4648,4651,,,0
"Method|MainWindow_OnPreviewKeyDown(object,KeyEventArgs)|L4653",MainWindow_OnPreviewKeyDown,"MainWindow_OnPreviewKeyDown(object,KeyEventArgs)",4653,4656,,,0
"Method|UserReportsButton_OnClick(object,RoutedEventArgs)|L4658",UserReportsButton_OnClick,"UserReportsButton_OnClick(object,RoutedEventArgs)",4658,4722,,,0
Method|TryHandleModListKeyDownAsync(KeyEventArgs)|L4724,TryHandleModListKeyDownAsync,TryHandleModListKeyDownAsync(KeyEventArgs),4724,4755,"Method|MainWindow_OnPreviewKeyDown(object,KeyEventArgs)|L4653;Method|ModsDataGrid_OnPreviewKeyDown(object,KeyEventArgs)|L4648","MainWindow_OnPreviewKeyDown(object,KeyEventArgs);ModsDataGrid_OnPreviewKeyDown(object,KeyEventArgs)",2
"Method|ModsDataGrid_OnPreviewMouseLeftButtonDown(object,MouseButtonEventArgs)|L4757",ModsDataGrid_OnPreviewMouseLeftButtonDown,"ModsDataGrid_OnPreviewMouseLeftButtonDown(object,MouseButtonEventArgs)",4757,4779,,,0
