MemberId,Type,Name,Signature,StartLine,EndLine,LineCount,Modifiers,ReturnType,Parameters
"Method|ModInfoBorder_OnLostMouseCapture(object,MouseEventArgs)|L1197",Method,ModInfoBorder_OnLostMouseCapture,"ModInfoBorder_OnLostMouseCapture(object,MouseEventArgs)",1197,1203,7,private,void,"object sender, MouseEventArgs e"
Method|ApplyStoredModInfoPanelPosition()|L1205,Method,ApplyStoredModInfoPanelPosition,ApplyStoredModInfoPanelPosition(),1205,1215,11,private,void,
Method|EnsureModInfoPanelWithinBounds(bool)|L1217,Method,EnsureModInfoPanelWithinBounds,EnsureModInfoPanelWithinBounds(bool),1217,1229,13,private,void,bool persist
"Method|SetModInfoPanelPosition(double,double,bool)|L1231",Method,SetModInfoPanelPosition,"SetModInfoPanelPosition(double,double,bool)",1231,1260,30,private,void,"double left, double top, bool persist"
Method|ComputeDefaultModInfoPanelLeft()|L1262,Method,ComputeDefaultModInfoPanelLeft,ComputeDefaultModInfoPanelLeft(),1262,1284,23,private,double,
Method|GetModInfoPanelWidth()|L1286,Method,GetModInfoPanelWidth,GetModInfoPanelWidth(),1286,1294,9,private,double,
Method|GetModInfoPanelHeight()|L1296,Method,GetModInfoPanelHeight,GetModInfoPanelHeight(),1296,1304,9,private,double,
Method|IsModInfoDragInitiationBlocked(DependencyObject?)|L1306,Method,IsModInfoDragInitiationBlocked,IsModInfoDragInitiationBlocked(DependencyObject?),1306,1319,14,private static,bool,DependencyObject? source
"Method|DisableAutoRefreshMenuItem_OnClick(object,RoutedEventArgs)|L1325",Method,DisableAutoRefreshMenuItem_OnClick,"DisableAutoRefreshMenuItem_OnClick(object,RoutedEventArgs)",1325,1355,31,private,void,"object sender, RoutedEventArgs e"
"Method|AutomaticDataBackupsMenuItem_OnClick(object,RoutedEventArgs)|L1357",Method,AutomaticDataBackupsMenuItem_OnClick,"AutomaticDataBackupsMenuItem_OnClick(object,RoutedEventArgs)",1357,1390,34,private,void,"object sender, RoutedEventArgs e"
"Method|DisableInternetAccessMenuItem_OnClick(object,RoutedEventArgs)|L1392",Method,DisableInternetAccessMenuItem_OnClick,"DisableInternetAccessMenuItem_OnClick(object,RoutedEventArgs)",1392,1401,10,private,void,"object sender, RoutedEventArgs e"
"Method|ThemeMenuItem_OnClick(object,RoutedEventArgs)|L1403",Method,ThemeMenuItem_OnClick,"ThemeMenuItem_OnClick(object,RoutedEventArgs)",1403,1435,33,private,void,"object sender, RoutedEventArgs e"
"Method|EditThemeMenuItem_OnClick(object,RoutedEventArgs)|L1437",Method,EditThemeMenuItem_OnClick,"EditThemeMenuItem_OnClick(object,RoutedEventArgs)",1437,1440,4,private,void,"object sender, RoutedEventArgs e"
"Method|UpdateThemeMenuSelection(ColorTheme,string?)|L1442",Method,UpdateThemeMenuSelection,"UpdateThemeMenuSelection(ColorTheme,string?)",1442,1459,18,private,void,"ColorTheme theme, string? themeName = null"
Method|GenerateSurprisePalette()|L1461,Method,GenerateSurprisePalette,GenerateSurprisePalette(),1461,1469,9,private static,"IReadOnlyDictionary<string, string>",
Method|GenerateRandomColor(string)|L1471,Method,GenerateRandomColor,GenerateRandomColor(string),1471,1486,16,private static,string,string baseColor
Method|RefreshCustomThemeMenuItems()|L1488,Method,RefreshCustomThemeMenuItems,RefreshCustomThemeMenuItems(),1488,1536,49,private,void,
Method|ShowCustomThemeEditor()|L1538,Method,ShowCustomThemeEditor,ShowCustomThemeEditor(),1538,1560,23,private,void,
"Method|AlwaysClearModlistsMenuItem_OnClick(object,RoutedEventArgs)|L1562",Method,AlwaysClearModlistsMenuItem_OnClick,"AlwaysClearModlistsMenuItem_OnClick(object,RoutedEventArgs)",1562,1568,7,private,void,"object sender, RoutedEventArgs e"
"Method|AlwaysAddModlistsMenuItem_OnClick(object,RoutedEventArgs)|L1570",Method,AlwaysAddModlistsMenuItem_OnClick,"AlwaysAddModlistsMenuItem_OnClick(object,RoutedEventArgs)",1570,1576,7,private,void,"object sender, RoutedEventArgs e"
"Method|HandleModlistAutoLoadMenuClick(object,ModlistAutoLoadBehavior,ModlistAutoLoadBehavior)|L1578",Method,HandleModlistAutoLoadMenuClick,"HandleModlistAutoLoadMenuClick(object,ModlistAutoLoadBehavior,ModlistAutoLoadBehavior)",1578,1585,8,private,void,"object sender, ModlistAutoLoadBehavior enabledBehavior, ModlistAutoLoadBehavior disabledBehavior"
Method|SetModlistAutoLoadBehavior(ModlistAutoLoadBehavior)|L1587,Method,SetModlistAutoLoadBehavior,SetModlistAutoLoadBehavior(ModlistAutoLoadBehavior),1587,1591,5,private,void,ModlistAutoLoadBehavior behavior
