Source: C:\sc\games\Simple-Mod-Manager-Refactor\VintageStoryModManager\Views\MainWindow.xaml.cs
Class:  MainWindow
Lines:  80-14442
Members: 612

Type                 Name                                                            Start      End    Lines
Method               EnsureUniqueRelativePath                                        10298    10315       18
Method               GetSupportedConfigFiles                                         10317    10323        7
Method               IsSupportedConfigExtension                                      10325    10334       10
Method               GetSafeConfigFileName                                           10336    10362       27
Method               ResolveConfigExtension                                          10364    10373       10
Method               SanitizeForFileName                                             10375    10385       11
Method               SaveModlistToCloudMenuItem_OnClick                              10387    10394        8
Method               SaveCloudModlistButton_OnClick                                  10396    10400        5
Method               ModifyCloudModlistsButton_OnClick                               10402    10406        5
Method               IsCloudUploaderNameAvailableAsync                               10408    10429       22
Method               LocalModlistsDataGrid_OnSelectionChanged                        10431    10444       14
Method               SaveLocalModlistButton_OnClick                                  10446    10458       13
Method               InstallLocalModlistButton_OnClick                               10460    10478       19
Method               OpenModlistsFolderButton_OnClick                                10480    10497       18
Method               DeleteLocalModlistsButton_OnClick                               10499    10565       67
Method               ModifyLocalModlistButton_OnClick                                10567    10651       85
Method               RefreshCloudModlistsButton_OnClick                              10653    10656        4
Method               CloudModlistsDataGrid_OnSelectionChanged                        10658    10664        7
Method               InstallCloudModlistButton_OnClick                               10666    10738       73
Method               LoadModlistFromCloudMenuItem_OnClick                            10740    10810       71
Method               DeleteCloudModlistMenuItem_OnClick                              10812    10854       43
Method               LoadPresetMenuItem_OnSubmenuOpened                              10856    10924       69
Method               LoadPresetMenuItem_OnClick                                      10926    10955       30
Method               LoadPresetMenuItem_OnPresetClick                                10957    10962        6
Method               LoadPresetFromFileAsync                                         10964    10994       31
Method               LoadModlistMenuItem_OnClick                                     10996    11015       20
Method               LoadModlistFromFileAsync                                        11017    11060       44
Method               MainWindow_OnPreviewDragEnter                                   11062    11065        4
Method               MainWindow_OnPreviewDragOver                                    11067    11070        4
Method               MainWindow_OnPreviewDrop                                        11072    11085       14
Method               HandleModlistDragEvent                                          11087    11098       12
